date_id,full_date,day_number,month_number,year_number,quarter_number
D20240101,2024-01-01,1,1,2024,1
D20240102,2024-01-02,2,1,2024,1
D20240103,2024-01-03,3,1,2024,1
D20240104,2024-01-04,4,1,2024,1
D20240105,2024-01-05,5,1,2024,1
D20240106,2024-01-06,6,1,2024,1
D20240107,2024-01-07,7,1,2024,1
D20240108,2024-01-08,8,1,2024,1
D20240109,2024-01-09,9,1,2024,1
D20240110,2024-01-10,10,1,2024,1
D20240111,2024-01-11,11,1,2024,1
D20240112,2024-01-12,12,1,2024,1
D20240113,2024-01-13,13,1,2024,1
D20240114,2024-01-14,14,1,2024,1
D20240115,2024-01-15,15,1,2024,1
D20240116,2024-01-16,16,1,2024,1
D20240117,2024-01-17,17,1,2024,1
D20240118,2024-01-18,18,1,2024,1
D20240119,2024-01-19,19,1,2024,1
D20240120,2024-01-20,20,1,2024,1
D20240121,2024-01-21,21,1,2024,1
D20240122,2024-01-22,22,1,2024,1
D20240123,2024-01-23,23,1,2024,1
D20240124,2024-01-24,24,1,2024,1
D20240125,2024-01-25,25,1,2024,1
D20240126,2024-01-26,26,1,2024,1
D20240127,2024-01-27,27,1,2024,1
D20240128,2024-01-28,28,1,2024,1
D20240129,2024-01-29,29,1,2024,1
D20240130,2024-01-30,30,1,2024,1
D20240131,2024-01-31,31,1,2024,1
D20240201,2024-02-01,1,2,2024,1
D20240202,2024-02-02,2,2,2024,1
D20240203,2024-02-03,3,2,2024,1
D20240204,2024-02-04,4,2,2024,1
D20240205,2024-02-05,5,2,2024,1
D20240206,2024-02-06,6,2,2024,1
D20240207,2024-02-07,7,2,2024,1
D20240208,2024-02-08,8,2,2024,1
D20240209,2024-02-09,9,2,2024,1
D20240210,2024-02-10,10,2,2024,1
D20240211,2024-02-11,11,2,2024,1
D20240212,2024-02-12,12,2,2024,1
D20240213,2024-02-13,13,2,2024,1
D20240214,2024-02-14,14,2,2024,1
D20240215,2024-02-15,15,2,2024,1
D20240216,2024-02-16,16,2,2024,1
D20240217,2024-02-17,17,2,2024,1
D20240218,2024-02-18,18,2,2024,1
D20240219,2024-02-19,19,2,2024,1
D20240220,2024-02-20,20,2,2024,1
D20240221,2024-02-21,21,2,2024,1
D20240222,2024-02-22,22,2,2024,1
